tag;id;titre;url;ancre
stats::comparaison;p01-04;Comparer deux modèles, et pourquoi le max ment;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-04-comparer-modeles-multiplicite.html;
stats::comparaison;w01-02;Comparer deux modèles sur le même tirage;https://learnings-ek5.pages.dev/sheets/walkthroughs/walkthrough-p01-02-comparer-deux-modeles.html;
stats::conditionnement;p00-03;Conditionnement et Bayes;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-03-conditionnement-bayes.html;
stats::covariance;p00-02;Espérance, variance, masse vs densité;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-02-esperance-variance-densite.html;
stats::densite;p00-02;Espérance, variance, masse vs densité;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-02-esperance-variance-densite.html#s7;s7
stats::entropie;p08-03;Cross-entropy, entropie, KL;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-03-cross-entropy-entropie-kl.html#s4;s4
stats::esperance;p00-02;Espérance, variance, masse vs densité;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-02-esperance-variance-densite.html;
stats::estimation;b03;Biais et variance partout;https://learnings-ek5.pages.dev/sheets/bridges/bridge-03-biais-variance-partout.html#s5;s5
stats::estimation;p01-01;L'objet aléatoire;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-01-objet-aleatoire.html;
stats::estimation;p01-03;Inférence en régression;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-03-inference-regression.html;
stats::estimation;w01-04;De l'accuracy au SE en quatre maillons;https://learnings-ek5.pages.dev/sheets/walkthroughs/walkthrough-p01-04-accuracy-vers-se.html;
stats::estimation;w01-05;La chaîne du test en régression, hypothèse par hypothèse;https://learnings-ek5.pages.dev/sheets/walkthroughs/walkthrough-p01-05-chaine-test-regression-hypotheses.html;
stats::exponentielle;p00-01;Lois usuelles — quelle situation déclenche quelle loi;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-01-lois-quand-laquelle.html#s5;s5
stats::h0;p01-02;Intervalle de confiance et test;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-02-ic-test-procedure.html;
stats::ic;p01-02;Intervalle de confiance et test;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-02-ic-test-procedure.html;
stats::ic;w01-01;L’intervalle porte sur la procédure;https://learnings-ek5.pages.dev/sheets/walkthroughs/walkthrough-p01-01-intervalle-procedure.html;
stats::inference;p01-01;L'objet aléatoire;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-01-objet-aleatoire.html;
stats::inference;p01-02;Intervalle de confiance et test;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-02-ic-test-procedure.html;
stats::inference;p01-03;Inférence en régression;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-03-inference-regression.html;
stats::inference;p01-04;Comparer deux modèles, et pourquoi le max ment;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-04-comparer-modeles-multiplicite.html;
stats::inference;p01-05;Bootstrap, la distribution d'échantillonnage sans formule;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-05-bootstrap.html;
stats::inference;w01-05;La chaîne du test en régression, hypothèse par hypothèse;https://learnings-ek5.pages.dev/sheets/walkthroughs/walkthrough-p01-05-chaine-test-regression-hypotheses.html;
stats::kl;p08-03;Cross-entropy, entropie, KL;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-03-cross-entropy-entropie-kl.html;
stats::lgn;p00-04;Moyenne, loi des grands nombres, théorème central limite;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-04-moyenne-lgn-tcl.html;
stats::lois;p00-01;Lois usuelles — quelle situation déclenche quelle loi;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-01-lois-quand-laquelle.html;
